label,episode,opponent,seat,mine,theirs,rec_mine,rec_theirs,was_loss,won
PASTURE_TILT=None,episode-93792088-replay,Yanxi Jiang,1,126283.0,102952.0,126471.0,102814.0,1
PASTURE_TILT=None,episode-93792566-replay,larry54321zhao,0,69485.0,61382.0,68680.0,61370.0,1
PASTURE_TILT=None,episode-93793057-replay,Kerem Ercin,1,104224.0,87466.0,103662.0,87325.0,1
PASTURE_TILT=None,episode-93793530-replay,Aic,1,143253.0,117616.0,142410.0,117444.0,1
PASTURE_TILT=None,episode-93794083-replay,Shivam_2212,1,87702.0,76637.0,87476.0,76584.0,1
PASTURE_TILT=None,episode-93794494-replay,Mike Mordetsky,1,70837.0,58220.0,69973.0,58125.0,1
PASTURE_TILT=None,episode-93794969-replay,B.Pushpanjali,1,75155.0,71969.0,75046.0,71935.0,1
PASTURE_TILT=None,episode-93795455-replay,José Luis Gómezz,0,89884.0,81666.0,89966.0,81611.0,1
PASTURE_TILT=None,episode-93795935-replay,iVl44d,1,85400.0,75941.0,84783.0,75923.0,1
PASTURE_TILT=None,episode-93796422-replay,Bibek,1,67785.0,56957.0,67295.0,56895.0,1
PASTURE_TILT=None,episode-93796916-replay,Chaitanya Sonaje,0,81274.0,65373.0,79996.0,65330.0,1
PASTURE_TILT=None,episode-93797242-replay,David Estevez,0,81766.0,79851.0,81108.0,79798.0,1
PASTURE_TILT=None,episode-93797397-replay,Utkarsh Prakash Srivastava,0,79131.0,66626.0,79078.0,66470.0,1
PASTURE_TILT=None,episode-93797877-replay,Vernon Campbell,0,70468.0,64784.0,67768.0,64739.0,1
PASTURE_TILT=None,episode-93798356-replay,Garigariyong,0,73948.0,61000.0,73205.0,60882.0,1
PASTURE_TILT=None,episode-93799715-replay,We are Charlie Brown,1,66255.0,68018.0,65305.0,67987.0,0
PASTURE_TILT=None,episode-93800883-replay,vijaikm,1,71717.0,72619.0,70792.0,72588.0,0
PASTURE_TILT=None,episode-93806633-replay,Yeswanthperni,0,90024.0,89730.0,89837.0,89683.0,1
PASTURE_TILT=None,episode-93808591-replay,Kevin Zhao,0,87248.0,77037.0,87063.0,76990.0,1
PASTURE_TILT=None,episode-93814174-replay,zyvren,1,107535.0,104380.0,106169.0,104372.0,1
PASTURE_TILT=None,episode-93818931-replay,Jeff Marc E. Cadet,0,63064.0,86767.0,61212.0,86742.0,0
PASTURE_TILT=None,episode-93828203-replay,RuiFSPinto,1,100754.0,99430.0,100904.0,99307.0,1
PASTURE_TILT=None,episode-93831516-replay,Yogesh Jadhav,1,112189.0,111129.0,112151.0,111064.0,1
