episode,opponent,rank,lb_score,ours,theirs,margin,cause,cause_$,cause2,cause2_$,archetype,melon_day0,melon_late,cow,sheep,wheat_bought,quadrants,hands,pass_pct,shops
episode-94053099-replay,Hak,416,2315.1,85365.0,91806.0,-6441.0,MELON,13673,MILK,7436,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""BAKERY"": 2, ""YARN_STORE"": 1, ""ICE_CREAM_SHOP"": 3, ""PIZZA_SHOP"": 1, ""SMOOTHIE_SHOP"": 1}"
episode-94171901-replay,Fususu,759,2033.1,100448.0,106101.0,-5653.0,MELON,13584,MILK,8506,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""PIZZA_SHOP"": 1, ""ICE_CREAM_SHOP"": 1, ""BRUNCH_SPOT"": 2, ""FARMERS_MARKET"": 1, ""PET_CAFE"": 2, ""SMOOTHIE_SHOP"": 1}"
episode-94223143-replay,Chiranjieev,414,2315.3,135527.0,140759.0,-5232.0,MILK,13941,MELON,13584,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""SMOOTHIE_SHOP"": 3, ""BRUNCH_SPOT"": 2, ""ICE_CREAM_SHOP"": 2, ""PET_CAFE"": 1}"
episode-94061291-replay,Wufang Hong,71,2720.2,94914.0,99812.0,-4898.0,MILK,2401,STRAWBERRY,1258,day-10 melon (our generation),5,14,8,4,189,3,14,5,"{""PIZZA_SHOP"": 3, ""FARMERS_MARKET"": 1, ""SMOOTHIE_SHOP"": 1, ""BAKERY"": 2, ""BRUNCH_SPOT"": 1}"
episode-94050652-replay,vladee,761,2032.1,47973.0,52467.0,-4494.0,MELON,13584,MILK,3566,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""PET_CAFE"": 2, ""ICE_CREAM_SHOP"": 1, ""BAKERY"": 1, ""SMOOTHIE_SHOP"": 2, ""FARMERS_MARKET"": 1, ""PIZZA_SHOP"": 1}"
episode-93851015-replay,Maksim Borisov,258,2476.8,92834.0,97271.0,-4437.0,MELON,13584,MILK,7653,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""FARMERS_MARKET"": 1, ""SMOOTHIE_SHOP"": 3, ""BAKERY"": 1, ""PIZZA_SHOP"": 1, ""PET_CAFE"": 1, ""YARN_STORE"": 1}"
episode-93935341-replay,kay.liechtenstein,852,1967.6,51511.0,55841.0,-4330.0,MILK,1764,STRAWBERRY,1452,day-10 melon (our generation),5,14,8,4,189,3,14,4,"{""FARMERS_MARKET"": 2, ""BAKERY"": 3, ""PIZZA_SHOP"": 1, ""BRUNCH_SPOT"": 1, ""PET_CAFE"": 1}"
episode-93879128-replay,Aadi,755,2035.0,70412.0,74404.0,-3992.0,WOOL,7999,MILK,1159,day-10 melon (our generation),5,14,8,6,219,3,14,14,"{""FARMERS_MARKET"": 1, ""BAKERY"": 2, ""YARN_STORE"": 1, ""PIZZA_SHOP"": 1, ""ICE_CREAM_SHOP"": 2, ""PET_CAFE"": 1}"
episode-94083373-replay,Gebreab K. Zewdie,544,2206.0,112752.0,116344.0,-3592.0,STRAWBERRY,2981,MILK,365,day-10 melon (our generation),5,14,8,4,189,3,14,5,"{""PIZZA_SHOP"": 1, ""SMOOTHIE_SHOP"": 1, ""BRUNCH_SPOT"": 2, ""FARMERS_MARKET"": 1, ""ICE_CREAM_SHOP"": 1, ""BAKERY"": 2}"
episode-94089395-replay,Ankit Hemant Lade,1097,1788.5,67162.0,70515.0,-3353.0,MELON,13584,MILK,2839,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""PET_CAFE"": 2, ""ICE_CREAM_SHOP"": 1, ""YARN_STORE"": 2, ""BRUNCH_SPOT"": 1, ""PIZZA_SHOP"": 1, ""FARMERS_MARKET"": 1}"
